"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003141400,25.0,percent,23.6,26.6,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003141400,23.6,percent,22.4,25.0,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,29.2,percent,25.5,33.3,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,29.7,percent,28.3,31.2,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,26.2,percent,24.9,27.6,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,28.9,percent,27.3,30.6,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,25.5,percent,24.1,27.0,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,26.2,percent,24.4,27.7,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,28.4,percent,26.7,29.9,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151600,26.6,percent,25.2,28.1,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,28.4,percent,24.9,32.1,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,29.0,percent,27.7,30.4,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,25.5,percent,24.3,26.8,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,28.6,percent,27.0,30.0,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,24.8,percent,23.4,26.1,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,25.2,percent,23.9,26.5,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,27.8,percent,26.4,29.3,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003151700,25.6,percent,24.3,26.9,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,30.7,percent,26.7,34.8,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,31.4,percent,29.8,32.8,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,27.4,percent,26.2,28.8,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,30.3,percent,28.9,31.5,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,27.1,percent,25.7,28.4,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,28.6,percent,27.1,30.1,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,31.1,percent,29.5,32.7,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160800,31.1,percent,29.6,32.5,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,27.2,percent,23.7,31.2,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,27.9,percent,26.1,29.8,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,24.2,percent,22.8,25.7,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,27.6,percent,26.1,29.5,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,25.3,percent,23.5,27.1,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,25.3,percent,23.4,27.2,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,26.9,percent,25.0,28.9,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003160900,25.0,percent,23.3,26.9,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,28.9,percent,24.9,33.1,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,29.6,percent,27.7,31.7,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,25.7,percent,23.8,27.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,28.4,percent,26.5,30.5,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,24.6,percent,22.8,26.5,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,24.5,percent,22.5,26.4,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,27.6,percent,25.4,29.8,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170200,25.7,percent,23.8,27.4,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170600,31.0,percent,27.3,35.2,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170600,31.7,percent,30.5,33.0,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170600,27.8,percent,26.7,29.0,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170600,31.1,percent,29.8,32.5,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170600,26.8,percent,25.6,28.1,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",42003170600,27.3,percent,26.0,28.7,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
